Team,Conference,latitude,longitude,Division
Titans,AFC,36.166461,-86.771289,SOUTH
Giants,NFC,40.812194,-74.076983,EAST
Steelers,AFC,40.446786,-80.015761,NORTH
Panthers,NFC,35.225808,-80.852861,SOUTH
Ravens,AFC,39.277969,-76.622767,NORTH
Buccaneers,NFC,27.975967,-82.50335,SOUTH
Colts,AFC,39.760056,-86.163806,SOUTH
Vikings,NFC,44.973881,-93.258094,NORTH
Cardinals,NFC,33.5277,-112.262608,WEST
Cowboys,NFC,32.747778,-97.092778,EAST
Falcons,NFC,33.757614,-84.400972,SOUTH
Jets,AFC,40.812194,-74.076983,EAST
Broncos,AFC,39.743936,-105.020097,WEST
Dolphins,AFC,25.957919,-80.238842,EAST
Eagles,NFC,39.900775,-75.167453,EAST
Bears,NFC,41.862306,-87.616672,NORTH
Patriots,AFC,42.090925,-71.26435,EAST
Washington,NFC,38.907697,-76.864517,EAST
Packers,NFC,44.501306,-88.062167,NORTH
Chargers,AFC,33.95335745,-118.3390864,WEST
Saints,NFC,29.950931,-90.081364,SOUTH
Texans,AFC,29.684781,-95.410956,SOUTH
Bills,AFC,42.773739,-78.786978,EAST
Forty-Niners,NFC,37.713486,-122.386256,WEST
Jaguars,AFC,30.323925,-81.637356,SOUTH
Browns,AFC,41.506022,-81.699564,NORTH
Raiders,AFC,36.09083455,-115.182478,WEST
Chiefs,AFC,39.048914,-94.484039,WEST
Rams,NFC,33.95335745,-118.3390864,WEST
Seahawks,NFC,47.595153,-122.331625,WEST
Bengals,AFC,39.095442,-84.516039,NORTH
Lions,NFC,42.340156,-83.045808,NORTH
